6 |2024-04-27 00:20:29.1257 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:20:29.1257 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 00:22:16.9253 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:22:16.9261 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
24 |2024-04-27 00:22:16.9261 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
24 |2024-04-27 00:22:16.9682 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
24 |2024-04-27 00:22:16.9682 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
24 |2024-04-27 00:22:16.9682 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
3 |2024-04-27 00:22:19.6839 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
3 |2024-04-27 00:22:19.7314 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
29 |2024-04-27 00:23:16.7939 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
29 |2024-04-27 00:23:16.7939 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:23:16.8355 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
29 |2024-04-27 00:23:16.8355 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 00:23:22.5833 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Calling List on Get By Delete:2 method
24 |2024-04-27 00:23:22.5833 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
24 |2024-04-27 00:23:22.6225 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
24 |2024-04-27 00:23:22.6225 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Called List on Get By Delete:2 method
23 |2024-04-27 00:23:22.6342 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
23 |2024-04-27 00:23:22.6342 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
23 |2024-04-27 00:23:22.6342 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 2
23 |2024-04-27 00:23:22.6342 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
23 |2024-04-27 00:23:26.4200 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Calling List on Get By Delete:6 method
23 |2024-04-27 00:23:26.4200 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
23 |2024-04-27 00:23:26.4594 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
23 |2024-04-27 00:23:26.4594 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Called List on Get By Delete:6 method
23 |2024-04-27 00:23:26.4662 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
23 |2024-04-27 00:23:26.4662 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
23 |2024-04-27 00:23:26.4662 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 1
23 |2024-04-27 00:23:26.4662 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 00:23:28.9365 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Calling List on Get By Delete:7 method
24 |2024-04-27 00:23:28.9365 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
24 |2024-04-27 00:23:28.9770 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
24 |2024-04-27 00:23:28.9770 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Called List on Get By Delete:7 method
24 |2024-04-27 00:23:28.9852 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:23:28.9852 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
24 |2024-04-27 00:23:28.9852 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 0
24 |2024-04-27 00:23:28.9852 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
24 |2024-04-27 00:23:30.3083 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
24 |2024-04-27 00:23:30.3083 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
24 |2024-04-27 00:23:30.3083 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
