25 |2024-04-27 01:34:50.9171 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
25 |2024-04-27 01:34:50.9171 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:34:50.9446 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
25 |2024-04-27 01:34:50.9446 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
25 |2024-04-27 01:34:50.9656 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
3 |2024-04-27 01:35:01.2856 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
3 |2024-04-27 01:35:01.2856 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
3 |2024-04-27 01:35:01.3392 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by Name
3 |2024-04-27 01:35:01.3392 |DEBUG |Data Layer |DataLayer.ExpenseDB.Add |Adding Expense to DB
3 |2024-04-27 01:35:01.3933 |DEBUG |Data Layer |DataLayer.ExpenseDB.Add |Added Expense to DB
3 |2024-04-27 01:35:01.3933 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Added expense to DB
12 |2024-04-27 01:35:01.4021 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-27 01:35:01.4021 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
12 |2024-04-27 01:35:01.4021 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 3
12 |2024-04-27 01:35:01.4021 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
22 |2024-04-27 01:35:06.7497 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 01:35:06.7497 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
22 |2024-04-27 01:35:06.7497 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
22 |2024-04-27 01:35:06.7878 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
22 |2024-04-27 01:35:06.7878 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
22 |2024-04-27 01:35:06.7878 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-27 01:35:09.6969 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-27 01:35:09.6969 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
12 |2024-04-27 01:35:09.7281 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
12 |2024-04-27 01:35:09.7281 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
